snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Malignant tumor of urinary bladder (disorder),399326009,399326009,Malignant tumor of urinary bladder (disorder),(<!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!448233000|Malignant neoplasm of urinary organ (disorder)| AND <!363484005|Malignant tumor of pelvis (disorder)| AND <!126885006|Neoplasm of bladder (disorder)| AND <!363517008|Malignant tumor of urinary tract proper (disorder)|)&limit=7000,1,1
Melanocytic nevus (disorder),400096001,400096001,Melanocytic nevus (disorder),(<!20376005|Benign neoplastic disease (disorder)| AND <!399956005|Melanocytic neoplasm (disorder)| AND <!400006008|Hamartoma (disorder)|)&limit=7000,1,1
Temporal arteritis (disorder),400130008,400130008,Temporal arteritis (disorder),(<!473449006|Disease of non-coronary systemic artery (disorder)| AND <!52089001|Arteritis (disorder)| AND <!363176004|Inflammatory disorder of head (disorder)|)&limit=7000,2,2
Temporal arteritis (disorder),400130008,28366008,Cerebral arteritis (disorder),(<!473449006|Disease of non-coronary systemic artery (disorder)| AND <!52089001|Arteritis (disorder)| AND <!363176004|Inflammatory disorder of head (disorder)|)&limit=7000,2,2
Ingrowing toenail (disorder),400200009,400200009,Ingrowing toenail (disorder),(<!128619003|Disorder of toe (disorder)| AND <!400097005|Ingrowing nail (disorder)|)&limit=7000,1,1
Pityriasis capitis (disorder),400201008,403426003,Pityriasis steatoides (disorder),(<!400117007|Exfoliative disorder of skin of scalp (disorder)| AND <!34630004|Pityriasis (disorder)|)&limit=7000,3,3
Pityriasis capitis (disorder),400201008,400201008,Pityriasis capitis (disorder),(<!400117007|Exfoliative disorder of skin of scalp (disorder)| AND <!34630004|Pityriasis (disorder)|)&limit=7000,3,3
Pityriasis capitis (disorder),400201008,238924007,Pityriasis amiantacea (disorder),(<!400117007|Exfoliative disorder of skin of scalp (disorder)| AND <!34630004|Pityriasis (disorder)|)&limit=7000,3,3
Thalassemia (disorder),40108008,40108008,Thalassemia (disorder),(<!14514008|Anemia due to disturbance of hemoglobin synthesis (disorder)| AND <!63565007|Congenital anemia (disorder)| AND <!427306008|Hereditary hemoglobinopathy (disorder)|)&limit=7000,1,1
Vesicular hand eczema (disorder),402222007,402222007,Vesicular hand eczema (disorder),(<!123698008|Vesicular eczema (disorder)| AND <!238553001|Constitutional eczema of hand (disorder)|)&limit=7000,1,1
Contact dermatitis (disorder),40275004,40275004,Contact dermatitis (disorder),(<!473010000|Hypersensitivity condition (finding)| AND <!817956002|Exogenous dermatitis (disorder)|)&limit=7000,1,1
Primary herpes simplex keratoconjunctivitis (disorder),402885004,402885004,Primary herpes simplex keratoconjunctivitis (disorder),(<!40981003|Primary herpes simplex (disorder)| AND <!72321008|Herpes simplex keratoconjunctivitis (disorder)|)&limit=7000,1,1
Full thickness burn (disorder),403192003,403192003,Full thickness burn (disorder),(<!125666000|Burn (disorder)| AND <!282026002|Soft tissue injury (disorder)| AND <!125592002|Injury of integument (disorder)| AND <!80659006|Disorder of skin and/or subcutaneous tissue (disorder)|)&limit=7000,1,1
Solar erythema (disorder),403194002,403194002,Solar erythema (disorder),(<!402165001|Acute effect of ultraviolet radiation on normal skin (disorder)| AND <!399992009|Erythroderma (disorder)|)&limit=7000,1,1
Paget's disease of nipple (disorder),403946000,403946000,Paget's disease of nipple (disorder),(<!94012007|Primary malignant neoplasm of skin of breast (disorder)| AND <!816056009|Mass of nipple of breast (finding)| AND <!254726003|Malignant skin tumor with apocrine differentiation (disorder)| AND <!93663003|Primary malignant neoplasm of skin with adnexal differentiation (disorder)| AND <!237460007|Disorder of nipple (disorder)|)&limit=7000,1,1
Postconcussion syndrome (disorder),40425004,40425004,Postconcussion syndrome (disorder),(<!191519005|Dementia associated with another disease (disorder)| AND <!230282000|Post-traumatic dementia (disorder)|)&limit=7000,1,1
Dizziness (finding),404640003,404641004,Giddiness (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,404640003,Dizziness (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,386705008,Lightheadedness (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,359752005,Energy and stamina finding (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,302772006,Looks ill (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,271787007,Collapse (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,271593001,Moribund (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,213257006,Generally unwell (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,102499006,Fit and well (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
Dizziness (finding),404640003,84387000,Asymptomatic (finding),(<!365275006|General well-being finding (finding)| AND <!82832008|General body state finding (finding)|)&limit=7000,10,10
"Viral hepatitis, type A (disorder)",40468003,40468003,"Viral hepatitis, type A (disorder)",(<!105633007|Disease caused by Picornaviridae (disorder)| AND <!3738000|Viral hepatitis (disorder)|)&limit=7000,1,1
Attention deficit hyperactivity disorder (disorder),406506008,406506008,Attention deficit hyperactivity disorder (disorder),(<!129104009|Developmental mental disorder (disorder)| AND <!229712006|Disorders of attention and motor control (disorder)|)&limit=7000,1,1
Echocardiography (procedure),40701008,40701008,Echocardiography (procedure),(<!108283006|Ultrasound procedure on cardiovascular system (procedure)| AND <!25850001|Ultrasonography of thorax (procedure)| AND <!441985002|Imaging of heart (procedure)|)&limit=7000,1,1
Autoimmune hepatitis (disorder),408335007,408335007,Autoimmune hepatitis (disorder),(<!235890007|Autoimmune liver disease (disorder)| AND <!128241005|Inflammatory disease of liver (disorder)|)&limit=7000,1,1
Guillain-Barré syndrome (disorder),40956001,40956001,Guillain-Barré syndrome (disorder),(<!782309008|Immune-mediated neuropathy (disorder)| AND <!128482007|Acute inflammatory disease (disorder)| AND <!128078004|Polyradiculoneuropathy (disorder)| AND <!127341005|Acute nervous system disorder (disorder)| AND <!85828009|Autoimmune disease (disorder)| AND <!76886005|Polyneuritis (disorder)| AND <!23414001|Peripheral demyelinating neuropathy (disorder)|)&limit=7000,1,1
Benign neoplasm of peripheral nerve (disorder),409660009,409660009,Benign neoplasm of peripheral nerve (disorder),(<!92069005|Benign neoplasm of soft tissue (disorder)| AND <!92247009|Benign neoplasm of nervous system (disorder)| AND <!126980002|Neoplasm of peripheral nerve (disorder)|)&limit=7000,1,1
Mitral valve prolapse (disorder),409712001,409712001,Mitral valve prolapse (disorder),(<!398995000|Cardiac valve prolapse (disorder)| AND <!11851006|Mitral valve disorder (disorder)|)&limit=7000,1,1
Intermittent explosive disorder (disorder),40987004,40987004,Intermittent explosive disorder (disorder),(<!191765005|Emotionally unstable personality disorder (disorder)| AND <!128293007|Chronic mental disorder (disorder)| AND <!66347000|Impulse control disorder (disorder)|)&limit=7000,1,1
Complete trisomy 21 syndrome (disorder),41040004,726361003,Partial trisomy of chromosome 21 (disorder),(<!270521004|Trisomy and partial trisomy of autosome (disorder)| AND <!70156005|Anomaly of chromosome pair 21 (disorder)|)&limit=7000,4,4
Complete trisomy 21 syndrome (disorder),41040004,254264002,Partial trisomy 21 in Down's syndrome (disorder),(<!270521004|Trisomy and partial trisomy of autosome (disorder)| AND <!70156005|Anomaly of chromosome pair 21 (disorder)|)&limit=7000,4,4
Complete trisomy 21 syndrome (disorder),41040004,205616004,Trisomy 21- mitotic nondisjunction mosaicism (disorder),(<!270521004|Trisomy and partial trisomy of autosome (disorder)| AND <!70156005|Anomaly of chromosome pair 21 (disorder)|)&limit=7000,4,4
Complete trisomy 21 syndrome (disorder),41040004,41040004,Complete trisomy 21 syndrome (disorder),(<!270521004|Trisomy and partial trisomy of autosome (disorder)| AND <!70156005|Anomaly of chromosome pair 21 (disorder)|)&limit=7000,4,4
Bronchiolitis (disorder),4120002,4120002,Bronchiolitis (disorder),(<!205237003|Pneumonitis (disorder)| AND <!68917000|Bronchiolar disease (disorder)|)&limit=7000,1,1
Alcoholic liver damage (disorder),41309000,41309000,Alcoholic liver damage (disorder),(<!719848005|Disorder caused by alcohol (disorder)| AND <!427399008|Drug-induced disorder of liver (disorder)| AND <!243978007|Liver damage (disorder)|)&limit=7000,1,1
Acute myeloid leukemia - category (morphologic abnormality),413443009,413443009,Acute myeloid leukemia - category (morphologic abnormality),(<!128934006|Myeloid leukemia - category (morphologic abnormality)| AND <!128932005|Acute leukemia - category (morphologic abnormality)|)&limit=7000,1,1
Allergy to food (finding),414285001,414285001,Allergy to food (finding),(<!419199007|Allergy to substance (finding)| AND <!418471000|Propensity to adverse reactions to food (finding)|)&limit=7000,1,1
Blepharitis (disorder),41446000,41446000,Blepharitis (disorder),(<!363176004|Inflammatory disorder of head (disorder)| AND <!363171009|Inflammation of specific body systems (disorder)| AND <!246845007|Lid margin finding (finding)| AND <!60113004|Disorder of eyelid (disorder)|)&limit=7000,1,1
Kyphosis deformity of spine (disorder),414564002,414564002,Kyphosis deformity of spine (disorder),(<!928000|Disorder of musculoskeletal system (disorder)| AND <!64217002|Curvature of spine (disorder)| AND <!699699005|Disorder of vertebral column (disorder)|)&limit=7000,3,3
Kyphosis deformity of spine (disorder),414564002,298382003,Scoliosis deformity of spine (disorder),(<!928000|Disorder of musculoskeletal system (disorder)| AND <!64217002|Curvature of spine (disorder)| AND <!699699005|Disorder of vertebral column (disorder)|)&limit=7000,3,3
Kyphosis deformity of spine (disorder),414564002,61960001,Lordosis deformity of spine (disorder),(<!928000|Disorder of musculoskeletal system (disorder)| AND <!64217002|Curvature of spine (disorder)| AND <!699699005|Disorder of vertebral column (disorder)|)&limit=7000,3,3
Myocardial ischemia (disorder),414795007,414795007,Myocardial ischemia (disorder),(<!414545008|Ischemic heart disease (disorder)| AND <!301122000|Myocardial lesion (finding)| AND <!57809008|Myocardial disease (disorder)|)&limit=7000,2,2
Myocardial ischemia (disorder),414795007,46109009,Subendocardial ischemia (disorder),(<!414545008|Ischemic heart disease (disorder)| AND <!301122000|Myocardial lesion (finding)| AND <!57809008|Myocardial disease (disorder)|)&limit=7000,2,2
Obesity (disorder),414916001,414916001,Obesity (disorder),(<!64572001|Disease (disorder)| AND <!414915002|Obese (finding)|)&limit=7000,1,1
Onychomycosis (disorder),414941008,414941008,Onychomycosis (disorder),(<!238408000|Infection of nail (disorder)| AND <!276206000|Superficial mycosis (disorder)|)&limit=7000,1,1
Placental abruption (disorder),415105001,415105001,Placental abruption (disorder),"(<!198609003|Complication of pregnancy, childbirth and/or the puerperium (disorder)| AND <!109891004|Detached products of conception (disorder)| AND <!125586008|Disorder of placenta (disorder)|)&limit=7000",1,1
Severe acute respiratory syndrome-related coronavirus (organism),415360003,840533007,Severe acute respiratory syndrome coronavirus 2 (organism),(<!84101006|Human coronavirus (organism)| AND <!868196001|Subgenus Sarbecovirus (organism)|)&limit=7000,2,2
Severe acute respiratory syndrome-related coronavirus (organism),415360003,415360003,Severe acute respiratory syndrome-related coronavirus (organism),(<!84101006|Human coronavirus (organism)| AND <!868196001|Subgenus Sarbecovirus (organism)|)&limit=7000,2,2
Whipple's disease (disorder),41545003,41545003,Whipple's disease (disorder),(<!721760004|Infection caused by Tropheryma (disorder)| AND <!312108008|Bacterial intestinal infectious disease (disorder)| AND <!235725003|Malabsorption caused by infective agent (disorder)|)&limit=7000,1,1
Swelling of first metatarsophalangeal joint of hallux (disorder),415692008,415692008,Swelling of first metatarsophalangeal joint of hallux (disorder),(<!428339009|Disorder of joint of foot (disorder)| AND <!128619003|Disorder of toe (disorder)| AND <!299576008|Finding of joint of toe (finding)| AND <!300861003|Mass of musculoskeletal structure (finding)| AND <!298149009|Lesion of joint (finding)| AND <!442026004|Mass of toe (finding)|)&limit=7000,1,1
Cavernous hemangioma (disorder),416824008,416824008,Cavernous hemangioma (disorder),(<!92017000|Benign neoplasm of blood vessel (disorder)| AND <!400210000|Hemangioma (disorder)|)&limit=7000,2,2
Cavernous hemangioma (disorder),416824008,403968005,Venous hemangioma (disorder),(<!92017000|Benign neoplasm of blood vessel (disorder)| AND <!400210000|Hemangioma (disorder)|)&limit=7000,2,2
"Hydatidiform mole, benign (disorder)",417044008,417044008,"Hydatidiform mole, benign (disorder)",(<!20376005|Benign neoplastic disease (disorder)| AND <!416402001|Gestational trophoblastic disease (disorder)|)&limit=7000,1,1
Dislocation of shoulder joint (disorder),417076003,417076003,Dislocation of shoulder joint (disorder),(<!430940009|Disorder of glenohumeral joint (disorder)| AND <!263017003|Dislocation of joint of upper limb (disorder)|)&limit=7000,1,1
Blister of skin AND/OR mucosa (disorder),417237009,417237009,Blister of skin AND/OR mucosa (disorder),(<!362965005|Disorder of body system (disorder)| AND <!417163006|Traumatic AND/OR non-traumatic injury (disorder)| AND <!247440002|Skin or mucosa lesion (finding)|)&limit=7000,1,1
Dislocation of elbow joint (disorder),417558002,417558002,Dislocation of elbow joint (disorder),(<!429554009|Arthropathy of elbow (disorder)| AND <!263017003|Dislocation of joint of upper limb (disorder)|)&limit=7000,1,1
